School_Name,School_Type,Starting_Median_Salary,Mid_Career_Median_Salary,Percentage_increase,Mid_Career_10th_Percentile_Salary,Mid_Career_25th_Percentile_Salary,Mid_Career_75th_Percentile_Salary,Mid_Career_90th_Percentile_Salary
University of Texas at El Paso (UTEP),State,43400 ,72100 ,0.66 ,37700 ,50400 ,99500 ,133000 
"California State University, Dominguez Hills (CSUDH)",State,42700 ,72100 ,0.69 ,30800 ,47000 ,92200 ,132000 
University Of Maine,State,41200 ,72100 ,0.75 ,41700 ,55600 ,99300 ,141000 
Eastern Michigan University,State,40300 ,72100 ,0.79 ,37900 ,52800 ,95400 ,135000 
Bowling Green State University,State,39800 ,72100 ,0.81 ,38200 ,51800 ,101000 ,146000 
University of Montana,State,37300 ,71900 ,0.93 ,37000 ,51500 ,96400 ,138000 
University of Central Florida (UCF),State,42600 ,71700 ,0.68 ,39500 ,51500 ,98400 ,125000 
University of South Carolina,State,40000 ,71700 ,0.79 ,36300 ,49900 ,98400 ,131000 
"University of Nevada, Las Vegas (UNLV)",State,45200 ,71600 ,0.58 ,39000 ,52400 ,100000 ,128000 
St Cloud State University,State,41800 ,71400 ,0.71 ,38700 ,49400 ,101000 ,126000 
University of Wisconsin (UW) - Parkside,State,40700 ,71400 ,0.75 ,40900 ,53100 ,84900 ,119000 
"California State University (CSU), Stanislaus",State,38000 ,71400 ,0.88 ,33700 ,50500 ,94100 ,121000 
Humboldt State University,State,42600 ,71300 ,0.67 ,36000 ,56300 ,94400 ,117000 
Florida Atlantic University (FAU),State,42600 ,71100 ,0.67 ,40700 ,53000 ,99500 ,137000 
University of South Florida (USF),State,41100 ,71100 ,0.73 ,39600 ,51500 ,98100 ,131000 
Portland State University (PSU),State,42600 ,70900 ,0.66 ,40700 ,52300 ,94400 ,123000 
Eastern Washington University,State,38600 ,70900 ,0.84 ,36000 ,50500 ,93100 ,117000 
University of Texas at San Antonio (UTSA),State,42500 ,70700 ,0.66 ,39100 ,49800 ,92700 ,121000 
University of Akron,State,41100 ,70300 ,0.71 ,40600 ,53300 ,95200 ,127000 
